DATE,S&P500,JPX400,SSEC,KOSPI
2007-01-01,,,,1434.46
2007-01-02,,,,1435.26
2007-01-03,1416.6,,,1409.35
2007-01-04,1418.34,14545.5,2715.72,1397.29
2007-01-05,1409.71,14326.44,2641.33,1385.76
2007-01-06,,,,1385.76
2007-01-07,,,,1385.76
2007-01-08,1412.84,,2707.2,1370.81
2007-01-09,1412.11,14474.26,2807.8,1374.34
2007-01-10,1414.85,14213.79,2825.58,1355.79
2007-01-11,1423.82,14158.18,2770.11,1365.31
2007-01-12,1430.73,14396.49,2668.11,1388.37
2007-01-13,,,,1388.37
2007-01-14,,,,1388.37
2007-01-15,,14551.04,2794.7,1390.96
2007-01-16,1431.9,14537.65,2821.02,1389.71
2007-01-17,1430.62,14568.3,2778.9,1379.48
2007-01-18,1426.37,14645.4,2756.98,1383.21
2007-01-19,1430.5,14637.95,2832.21,1360.56
2007-01-20,,,,1360.56
2007-01-21,,,,1360.56
2007-01-22,1422.95,14776.11,2933.19,1363.41
2007-01-23,1427.99,14784.82,2949.14,1363.09
2007-01-24,1440.13,14858.98,2975.13,1383.06
2007-01-25,1423.9,14793.81,2857.36,1382.36
2007-01-26,1422.18,14786.08,2882.56,1371.33
2007-01-27,,,,1371.33
2007-01-28,,,,1371.33
2007-01-29,1420.62,14849.24,2945.26,1363.1
2007-01-30,1428.82,14833.67,2930.56,1370.72
2007-01-31,1438.24,14755.14,2786.34,1360.23
2007-02-01,1445.94,14908.3,2785.43,1382.9
2007-02-02,1448.39,14968.49,2673.21,1413.14
2007-02-03,,,,1413.14
2007-02-04,,,,1413.14
2007-02-05,1446.99,14740.62,2612.54,1417.95
2007-02-06,1448,14901.33,2675.7,1428.58
2007-02-07,1450.02,14873.73,2716.18,1426.29
2007-02-08,1448.31,14795.08,2737.73,1423.58
2007-02-09,1438.06,14997.46,2730.39,1427.68
2007-02-10,,,,1427.68
2007-02-11,,,,1427.68
2007-02-12,1433.37,,2807.17,1414.29
2007-02-13,1444.26,15095.53,2831.87,1418.44
2007-02-14,1455.3,15179.81,2905.09,1436.1
2007-02-15,1456.81,15276.55,2993.01,1443.63
2007-02-16,1455.54,15243.53,2998.47,1448.81
2007-02-17,,,,1448.81
2007-02-18,,,,1448.81
2007-02-19,,15280.9,,1448.81
2007-02-20,1459.68,15311.57,,1452.96
2007-02-21,1457.63,15335.52,,1451.38
2007-02-22,1456.38,15484.54,,1465.41
2007-02-23,1451.19,15606.05,,1469.88
2007-02-24,,,,1469.88
2007-02-25,,,,1469.88
2007-02-26,1449.37,15630.04,3040.6,1470.03
2007-02-27,1399.04,15583.65,2771.79,1454.6
2007-02-28,1406.82,15066.35,2881.07,1417.34
2007-03-01,1403.17,14968.49,2797.19,1417.34
2007-03-02,1387.17,14813.59,2831.53,1414.47
2007-03-03,,,,1414.47
2007-03-04,,,,1414.47
2007-03-05,1374.12,14302.49,2785.31,1376.15
2007-03-06,1395.41,14562.24,2840.18,1402.93
2007-03-07,1391.97,14538.1,2896.59,1410.95
2007-03-08,1401.89,14818.44,2928.01,1423.89
2007-03-09,1402.85,14895.1,2937.91,1423.58
2007-03-10,,,,1423.58
2007-03-11,,,,1423.58
2007-03-12,1406.6,14989.72,2954.91,1441.33
2007-03-13,1377.95,14855.67,2964.79,1436.05
2007-03-14,1387.17,14410.86,2906.33,1407.37
2007-03-15,1392.28,14590.37,2951.7,1426.93
2007-03-16,1386.95,14446.28,2930.48,1427.88
2007-03-17,,,,1427.88
2007-03-18,,,,1427.88
2007-03-19,1402.06,14615.22,3014.44,1443.39
2007-03-20,1410.94,14738.96,3032.2,1444.17
2007-03-21,1435.04,,3057.38,1442.85
2007-03-22,1434.54,14946.97,3071.22,1448.53
2007-03-23,1436.11,15043.48,3074.29,1447.38
2007-03-24,,,,1447.38
2007-03-25,,,,1447.38
2007-03-26,1437.5,15023.93,3122.81,1449.77
2007-03-27,1428.61,14885.27,3138.83,1453.23
2007-03-28,1417.23,14766.39,3173.02,1439.74
2007-03-29,1422.53,14773.05,3197.54,1450.95
2007-03-30,1420.86,14787.61,3183.98,1452.55
